wandb: Tracking run with wandb version 0.17.3
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/utils/data/dataloader.py:558: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/cuda/__init__.py:619: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/yongweic/.conda/envs/hypll/lib/python3.10/site-packages/torch/utils/data/dataloader.py:558: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
{'embedding_dim': 16, 'eval_trials': 100, 'max_steps': 100, 'hyperbolic': False, 'num_epochs': 256, 'temperature': 0.1, 'batch_size': 64, 'num_negatives': 64, 'learning_rate': 0.001, 'architecture': 'MLP', 'maze': '[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]\n [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]', 'num_trajectories': 10000, 'maze_type': 'blocker', 'gamma': 0.1, 'hyp_layers': 2}
gamma: 0.1
/home/yongweic/hyperbolic/train.py:211: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  anchor = torch.tensor(anchor).to(device, torch.float32)
/home/yongweic/hyperbolic/train.py:212: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  positive = torch.tensor(positive).to(device, torch.float32)
/home/yongweic/hyperbolic/train.py:213: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  negatives = torch.tensor(negatives).to(device, torch.float32)
Epoch 1, Loss: 4.999476554287467, SPL: 0.5398830857175401, Failure %: 0.26
Epoch 2, Loss: 4.493962814853449, SPL: 0.48880645903965925, Failure %: 0.39
Epoch 3, Loss: 4.3078715694937735, SPL: 0.4710851595473243, Failure %: 0.41
Epoch 4, Loss: 4.028187876294373, SPL: 0.4050961444227614, Failure %: 0.47
Epoch 5, Loss: 3.913088210828745, SPL: 0.43631226378895777, Failure %: 0.42
Epoch 6, Loss: 3.760003461959256, SPL: 0.44032987731310924, Failure %: 0.35
Epoch 7, Loss: 3.699489933669947, SPL: 0.47727470649620224, Failure %: 0.27
Epoch 8, Loss: 3.5903316683070674, SPL: 0.40732455278448504, Failure %: 0.35
Epoch 9, Loss: 3.5570857388198753, SPL: 0.5096255795963207, Failure %: 0.25
Epoch 10, Loss: 3.5470653111767616, SPL: 0.5643541819917598, Failure %: 0.21
Epoch 11, Loss: 3.4473079344269575, SPL: 0.49884173166830886, Failure %: 0.22
Epoch 12, Loss: 3.4929290440431826, SPL: 0.4383100135489221, Failure %: 0.29
Epoch 13, Loss: 3.4474340290020984, SPL: 0.5300344062479353, Failure %: 0.17
Epoch 14, Loss: 3.4530651842712596, SPL: 0.639169408940987, Failure %: 0.12
Epoch 15, Loss: 3.3995602016995665, SPL: 0.5732995333413654, Failure %: 0.18
Epoch 16, Loss: 3.3549867298952334, SPL: 0.6228128406984635, Failure %: 0.17
Epoch 17, Loss: 3.376826413877451, SPL: 0.5333246751426786, Failure %: 0.18
Epoch 18, Loss: 3.316723773433904, SPL: 0.5203248564621483, Failure %: 0.17
Epoch 19, Loss: 3.2969958949240907, SPL: 0.6119869663292139, Failure %: 0.19
Epoch 20, Loss: 3.3739621426649156, SPL: 0.48009927569908506, Failure %: 0.28
Epoch 21, Loss: 3.251551974351239, SPL: 0.6061772989968994, Failure %: 0.13
Epoch 22, Loss: 3.2416404311064704, SPL: 0.6783779996094684, Failure %: 0.07
Epoch 23, Loss: 3.2707490313584637, SPL: 0.529547377566229, Failure %: 0.18
Epoch 24, Loss: 3.2884906537973198, SPL: 0.5726052151841345, Failure %: 0.2
Epoch 25, Loss: 3.209518824413324, SPL: 0.6665545096967963, Failure %: 0.09
Epoch 26, Loss: 3.182505533194086, SPL: 0.712578616056692, Failure %: 0.07
Epoch 27, Loss: 3.1874043379619623, SPL: 0.5308711333943966, Failure %: 0.19
Epoch 28, Loss: 3.164703472404723, SPL: 0.5191371524794643, Failure %: 0.19
Epoch 29, Loss: 3.210737006679462, SPL: 0.680528277430418, Failure %: 0.13
Epoch 30, Loss: 3.107477607241102, SPL: 0.6588881334583518, Failure %: 0.13
